d_model,num_conv_blocks,num_heads,num_decoder_layers,ff_mult,num_bands,dropout,lr,weight_decay,batch_size,epochs,early_stop_patience,grad_clip,trial_id,mean_val_masked_mse,std_val_masked_mse,mean_best_epoch,status,elapsed_sec
192,4,4,4,4,16,0.15,0.00015,0.0003,128,80,7,1.0,4,0.029541633460919065,0.0006088687628778629,54,ok,3204.1679956912994
128,3,4,5,4,16,0.05,0.0002,0.0003,128,80,7,1.0,3,0.02987375606497129,0.00031361550139629834,51,ok,2431.907571077347
128,5,4,3,4,16,0.15,0.0003,0.0005,128,80,5,1.0,5,0.030175890724857646,5.414381736625715e-05,42,ok,1568.9750247001648
192,4,4,3,4,16,0.1,0.00015,0.0003,128,80,7,1.0,6,0.030381361967325212,0.00046560379993527604,39,ok,1991.4570429325104
192,3,4,4,4,16,0.15,0.00015,0.0003,128,80,7,1.0,2,0.03060957277615865,0.00043866935363230376,42,ok,2421.721160173416
192,5,4,5,4,16,0.15,0.0003,0.0001,128,80,5,1.0,1,0.03141399835546812,0.0009628491319638927,23,ok,1810.2330374717712
